,ID,Count
0,18288,480.7745480608891
1,18289,383.68324218649445
2,18290,324.7142001990717
3,18291,268.29974290510575
4,18292,225.82870440619544
5,18293,202.153941243757
6,18294,217.37038050478313
7,18295,252.0922273081568
8,18296,290.2999288102947
9,18297,375.13093690839986
10,18298,532.4557614746709
11,18299,590.2970269419055
12,18300,596.5510603720409
13,18301,527.6029049332544
14,18302,564.1360291781432
15,18303,557.010532073317
16,18304,542.7937129097309
17,18305,555.4384799542664
18,18306,569.1084983807914
19,18307,603.8816077532649
20,18308,580.3093697290249
21,18309,541.6573926280253
22,18310,543.6224577768382
23,18311,530.7726404559052
24,18312,365.5674456536623
25,18313,291.7419471391575
26,18314,246.9035459822486
27,18315,204.00757918435392
28,18316,171.71379591124554
29,18317,153.71217180145192
30,18318,165.28232428775388
31,18319,191.6838401239864
32,18320,220.73590184141574
33,18321,285.2390147198494
34,18322,404.86438691679507
35,18323,448.84525852390516
36,18324,453.6006496636992
37,18325,401.1744112782665
38,18326,428.95317154296436
39,18327,423.5351439328713
40,18328,412.7250744566186
41,18329,422.33979971193935
42,18330,432.7340972852593
43,18331,459.1745917373919
44,18332,441.2509248593978
45,18333,411.86104847083584
46,18334,413.3552287470005
47,18335,403.5845890280803
48,18336,359.968110400427
49,18337,287.27338466488453
50,18338,243.121765778338
51,18339,200.88282930950768
52,18340,169.08368449858
53,18341,151.35778824609935
54,18342,162.75072264727885
55,18343,188.74785089342842
56,18344,217.3549270540539
57,18345,280.87005657079123
58,18346,398.6631470049939
59,18347,441.9703709780337
60,18348,446.652924589299
61,18349,395.0296901044494
62,18350,422.3829677571407
63,18351,417.0479271672565
64,18352,406.4034337121402
65,18353,415.87089183327726
66,18354,426.105981693966
67,18355,452.1414915270933
68,18356,434.4923584485674
69,18357,405.55264186746984
70,18358,407.023936034944
71,18359,397.4029515658968
72,18360,508.9940250345472
73,18361,406.2038611787648
74,18362,343.7735803856804
75,18363,284.0478278390655
76,18364,239.08391508588926
77,18365,214.0195412699463
78,18366,230.12912256413426
79,18367,266.88899812818727
80,18368,307.33933364060033
81,18369,397.14957096232376
82,18370,563.708711866968
83,18371,624.9450203238184
84,18372,631.5661396429346
85,18373,558.5710127231732
86,18374,597.2484802211784
87,18375,589.7047459149725
88,18376,574.6534582824469
89,18377,588.0404208402218
90,18378,602.5128127945734
91,18379,639.3269598284555
92,18380,614.3711289521696
93,18381,573.4504407012405
94,18382,575.5308470446787
95,18383,561.9267986075887
96,18384,502.76510861292934
97,18385,401.23285999412565
98,18386,339.566582277918
99,18387,280.571735601575
100,18388,236.15807774482795
101,18389,211.4004342282222
102,18390,227.31287129176434
103,18391,263.6228905091893
104,18392,303.5782069315135
105,18393,392.2893734693615
106,18394,556.8102134963459
107,18395,617.2971303521451
108,18396,623.8372223962289
109,18397,551.7353879758003
110,18398,589.9395322114576
111,18399,582.4881158661493
112,18400,567.6210213834241
113,18401,580.8441583031555
114,18402,595.1394414596219
115,18403,631.5030679888839
116,18404,606.8526390959512
117,18405,566.4327259710421
118,18406,568.4876729247842
119,18407,555.0501067577062
120,18408,518.0175637485399
121,18409,413.40511715985645
122,18410,349.8680609864056
123,18411,289.0834794284086
124,18412,243.32243824639997
125,18413,217.8137186496695
126,18414,234.20889353302476
127,18415,271.6204548614662
128,18416,312.78790128390506
129,18417,404.190310838555
130,18418,573.7022425073352
131,18419,636.0241593856695
132,18420,642.762659113135
133,18421,568.4734612980452
134,18422,607.8366099792504
135,18423,600.1591389782857
136,18424,584.8410193792388
137,18425,598.4653084456986
138,18426,613.1942695986282
139,18427,650.6610645313934
140,18428,625.2628121433094
141,18429,583.6166744834006
142,18430,585.7339626491344
143,18431,571.888739165381
144,18432,501.92817221697464
145,18433,400.56494096388803
146,18434,339.0013170542783
147,18435,280.1046771419119
148,18436,235.76495322787682
149,18437,211.04852293904315
150,18438,226.93447109653619
151,18439,263.18404622963567
152,18440,303.07285036231843
153,18441,391.6363423644215
154,18442,555.8833100073587
155,18443,616.2695362994564
156,18444,622.7987412692964
157,18445,550.8169323804885
158,18446,588.9574794447443
159,18447,581.5184672250087
160,18448,566.67612150122
161,18449,579.8772463036281
162,18450,594.1487325765019
163,18451,630.451825783125
164,18452,605.8424316413373
165,18453,565.4898042047865
166,18454,567.5413303565123
167,18455,554.1261332600113
168,18456,489.2432603355454
169,18457,390.44171764196545
170,18458,330.43395209540705
171,18459,273.025769553546
172,18460,229.80661531826036
173,18461,205.7148276727207
174,18462,221.19930035287462
175,18463,256.53276299866025
176,18464,295.41348272108996
